detected 8780830, inserted: 8780830 lines out of 4846853993; not in taxo: 4837926119
Done processing the product/categories file
2020-05-22 14:55:46,080 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,081 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,081 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,082 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,082 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,083 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,083 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,084 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,084 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,204 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,204 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,205 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,205 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,205 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,205 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,206 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,206 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,207 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,207 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,559 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,559 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,560 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,560 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,560 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,560 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,561 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,561 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,562 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,562 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,663 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,663 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:46,664 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,664 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:46,664 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,664 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:46,665 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,665 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:46,665 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:46,665 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:48,989 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:48,989 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:48,990 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:48,990 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:48,990 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:48,990 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:48,991 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:48,991 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:48,992 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:48,992 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:58,759 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:58,759 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:55:58,760 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:58,760 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:55:58,760 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:58,760 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:55:58,761 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:58,761 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:55:58,761 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:55:58,761 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:00,179 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:00,179 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:00,179 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:00,179 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:00,179 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:00,179 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:00,180 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:00,180 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:00,181 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:00,181 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:00,784 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:00,784 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:00,784 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:00,784 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:00,785 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:00,785 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:00,786 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:00,786 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:00,786 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:00,786 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:02,991 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:02,991 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:02,992 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:02,992 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:02,992 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:02,992 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:02,993 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:02,993 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:02,993 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:02,993 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:04,050 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:04,050 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:04,051 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:04,051 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:04,051 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:04,051 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
